"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5506","test_Signup_002","testCases","Sat Aug 10 10:19:20 IST 2024","passed","Sat Aug 10 10:19:25 IST 2024","Test_UserProfile","test_UserProfile","",""
"self.Log.debug(""This is debug"")
        self.Log.info(""This is info"")
        self.Log.warning(""This is warning"")
        self.Log.error(""This is error"")
        self.Log.critical(""This is critical"")","1678","BankApp url testing 01","testCases","Sat Aug 10 10:19:20 IST 2024","passed","Sat Aug 10 10:19:21 IST 2024","Test_UserProfile","test_UserProfile","",""
